Website,Agency,Bureau,Subcomponent
benefits-tool.usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
blog.usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
usability.gov,General Services Administration,General Services Administration,
ack.usaccess.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
secure.login.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
ask.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
conexus.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
eoffer-test2.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
aspdotnetstorefront.webshopt.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
art.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
buy.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
doi-extractives-data.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
cmls.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
emorris.fasbilling.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
content.gsaadvantage.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
marketplace.fedramp.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
ebuy.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
dhsadvantage.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
etsvendorsales.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
computersforlearning.gov,General Services Administration,"GSA, FAS, ClearPath",
fleetb.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
fleet.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
extcws.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
fedsim.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
ftp.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
cowboys.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
ssabest.benefits.gov,General Services Administration,Office of the Chief Information Officer,
login.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
portal.usaccess.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
alpha2.sam.gov,General Services Administration,"GSA, FAS, System for Award Management",
alpha.sam.gov,General Services Administration,"GSA, FAS, System for Award Management",
aacinquiry.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
cpsearch.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
apps.ocfo.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
catalog.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
benefits-tool-beta.usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
